"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","M","1956-01",0.3745318,
"USA","CPI","TOT","AGRWTH","M","1956-02",0.3745318,
"USA","CPI","TOT","AGRWTH","M","1956-03",0.3745318,
"USA","CPI","TOT","AGRWTH","M","1956-04",0.7490637,
"USA","CPI","TOT","AGRWTH","M","1956-05",1.123595,
"USA","CPI","TOT","AGRWTH","M","1956-06",1.872659,
"USA","CPI","TOT","AGRWTH","M","1956-07",2.238806,
"USA","CPI","TOT","AGRWTH","M","1956-08",1.865672,
"USA","CPI","TOT","AGRWTH","M","1956-09",1.858736,
"USA","CPI","TOT","AGRWTH","M","1956-10",2.230483,
"USA","CPI","TOT","AGRWTH","M","1956-11",2.230483,
"USA","CPI","TOT","AGRWTH","M","1956-12",2.985075,
"USA","CPI","TOT","AGRWTH","M","1957-01",2.985075,
"USA","CPI","TOT","AGRWTH","M","1957-02",3.358209,
"USA","CPI","TOT","AGRWTH","M","1957-03",3.731343,
"USA","CPI","TOT","AGRWTH","M","1957-04",3.717472,
"USA","CPI","TOT","AGRWTH","M","1957-05",3.703704,
"USA","CPI","TOT","AGRWTH","M","1957-06",3.308824,
"USA","CPI","TOT","AGRWTH","M","1957-07",3.284672,
"USA","CPI","TOT","AGRWTH","M","1957-08",3.663004,
"USA","CPI","TOT","AGRWTH","M","1957-09",3.284672,
"USA","CPI","TOT","AGRWTH","M","1957-10",2.909091,
"USA","CPI","TOT","AGRWTH","M","1957-11",3.272727,
"USA","CPI","TOT","AGRWTH","M","1957-12",2.898551,
"USA","CPI","TOT","AGRWTH","M","1958-01",3.623188,
"USA","CPI","TOT","AGRWTH","M","1958-02",3.249098,
"USA","CPI","TOT","AGRWTH","M","1958-03",3.597122,
"USA","CPI","TOT","AGRWTH","M","1958-04",3.584229,
"USA","CPI","TOT","AGRWTH","M","1958-05",3.214286,
"USA","CPI","TOT","AGRWTH","M","1958-06",2.846975,
"USA","CPI","TOT","AGRWTH","M","1958-07",2.473498,
"USA","CPI","TOT","AGRWTH","M","1958-08",2.120141,
"USA","CPI","TOT","AGRWTH","M","1958-09",2.120141,
"USA","CPI","TOT","AGRWTH","M","1958-10",2.120141,
"USA","CPI","TOT","AGRWTH","M","1958-11",2.112676,
"USA","CPI","TOT","AGRWTH","M","1958-12",1.760563,
"USA","CPI","TOT","AGRWTH","M","1959-01",1.398601,
"USA","CPI","TOT","AGRWTH","M","1959-02",1.048951,
"USA","CPI","TOT","AGRWTH","M","1959-03",0.3472222,
"USA","CPI","TOT","AGRWTH","M","1959-04",0.3460208,
"USA","CPI","TOT","AGRWTH","M","1959-05",0.3460208,
"USA","CPI","TOT","AGRWTH","M","1959-06",0.6920415,
"USA","CPI","TOT","AGRWTH","M","1959-07",0.6896552,
"USA","CPI","TOT","AGRWTH","M","1959-08",1.038062,
"USA","CPI","TOT","AGRWTH","M","1959-09",1.384083,
"USA","CPI","TOT","AGRWTH","M","1959-10",1.730104,
"USA","CPI","TOT","AGRWTH","M","1959-11",1.37931,
"USA","CPI","TOT","AGRWTH","M","1959-12",1.730104,
"USA","CPI","TOT","AGRWTH","M","1960-01",1.034483,
"USA","CPI","TOT","AGRWTH","M","1960-02",1.730104,
"USA","CPI","TOT","AGRWTH","M","1960-03",1.730104,
"USA","CPI","TOT","AGRWTH","M","1960-04",1.724138,
"USA","CPI","TOT","AGRWTH","M","1960-05",1.724138,
"USA","CPI","TOT","AGRWTH","M","1960-06",1.718213,
"USA","CPI","TOT","AGRWTH","M","1960-07",1.369863,
"USA","CPI","TOT","AGRWTH","M","1960-08",1.369863,
"USA","CPI","TOT","AGRWTH","M","1960-09",1.023891,
"USA","CPI","TOT","AGRWTH","M","1960-10",1.360544,
"USA","CPI","TOT","AGRWTH","M","1960-11",1.360544,
"USA","CPI","TOT","AGRWTH","M","1960-12",1.360544,
"USA","CPI","TOT","AGRWTH","M","1961-01",1.706485,
"USA","CPI","TOT","AGRWTH","M","1961-02",1.360544,
"USA","CPI","TOT","AGRWTH","M","1961-03",1.360544,
"USA","CPI","TOT","AGRWTH","M","1961-04",1.016949,
"USA","CPI","TOT","AGRWTH","M","1961-05",1.016949,
"USA","CPI","TOT","AGRWTH","M","1961-06",0.6756757,
"USA","CPI","TOT","AGRWTH","M","1961-07",1.351351,
"USA","CPI","TOT","AGRWTH","M","1961-08",1.013514,
"USA","CPI","TOT","AGRWTH","M","1961-09",1.351351,
"USA","CPI","TOT","AGRWTH","M","1961-10",0.671141,
"USA","CPI","TOT","AGRWTH","M","1961-11",0.671141,
"USA","CPI","TOT","AGRWTH","M","1961-12",0.671141,
"USA","CPI","TOT","AGRWTH","M","1962-01",0.671141,
"USA","CPI","TOT","AGRWTH","M","1962-02",1.006711,
"USA","CPI","TOT","AGRWTH","M","1962-03",1.006711,
"USA","CPI","TOT","AGRWTH","M","1962-04",1.342282,
"USA","CPI","TOT","AGRWTH","M","1962-05",1.342282,
"USA","CPI","TOT","AGRWTH","M","1962-06",1.342282,
"USA","CPI","TOT","AGRWTH","M","1962-07",1,
"USA","CPI","TOT","AGRWTH","M","1962-08",1.337793,
"USA","CPI","TOT","AGRWTH","M","1962-09",1.333333,
"USA","CPI","TOT","AGRWTH","M","1962-10",1.333333,
"USA","CPI","TOT","AGRWTH","M","1962-11",1.333333,
"USA","CPI","TOT","AGRWTH","M","1962-12",1.333333,
"USA","CPI","TOT","AGRWTH","M","1963-01",1.333333,
"USA","CPI","TOT","AGRWTH","M","1963-02",0.9966778,
"USA","CPI","TOT","AGRWTH","M","1963-03",1.328904,
"USA","CPI","TOT","AGRWTH","M","1963-04",0.9933775,
"USA","CPI","TOT","AGRWTH","M","1963-05",0.9933775,
"USA","CPI","TOT","AGRWTH","M","1963-06",1.324503,
"USA","CPI","TOT","AGRWTH","M","1963-07",1.320132,
"USA","CPI","TOT","AGRWTH","M","1963-08",1.320132,
"USA","CPI","TOT","AGRWTH","M","1963-09",0.9868421,
"USA","CPI","TOT","AGRWTH","M","1963-10",1.315789,
"USA","CPI","TOT","AGRWTH","M","1963-11",1.315789,
"USA","CPI","TOT","AGRWTH","M","1963-12",1.644737,
"USA","CPI","TOT","AGRWTH","M","1964-01",1.644737,
"USA","CPI","TOT","AGRWTH","M","1964-02",1.644737,
"USA","CPI","TOT","AGRWTH","M","1964-03",1.311475,
"USA","CPI","TOT","AGRWTH","M","1964-04",1.311475,
"USA","CPI","TOT","AGRWTH","M","1964-05",1.311475,
"USA","CPI","TOT","AGRWTH","M","1964-06",1.30719,
"USA","CPI","TOT","AGRWTH","M","1964-07",1.302932,
"USA","CPI","TOT","AGRWTH","M","1964-08",0.9771987,
"USA","CPI","TOT","AGRWTH","M","1964-09",1.302932,
"USA","CPI","TOT","AGRWTH","M","1964-10",0.974026,
"USA","CPI","TOT","AGRWTH","M","1964-11",1.298701,
"USA","CPI","TOT","AGRWTH","M","1964-12",0.9708738,
"USA","CPI","TOT","AGRWTH","M","1965-01",0.9708738,
"USA","CPI","TOT","AGRWTH","M","1965-02",0.9708738,
"USA","CPI","TOT","AGRWTH","M","1965-03",1.294498,
"USA","CPI","TOT","AGRWTH","M","1965-04",1.618123,
"USA","CPI","TOT","AGRWTH","M","1965-05",1.618123,
"USA","CPI","TOT","AGRWTH","M","1965-06",1.935484,
"USA","CPI","TOT","AGRWTH","M","1965-07",1.607717,
"USA","CPI","TOT","AGRWTH","M","1965-08",1.935484,
"USA","CPI","TOT","AGRWTH","M","1965-09",1.607717,
"USA","CPI","TOT","AGRWTH","M","1965-10",1.92926,
"USA","CPI","TOT","AGRWTH","M","1965-11",1.602564,
"USA","CPI","TOT","AGRWTH","M","1965-12",1.923077,
"USA","CPI","TOT","AGRWTH","M","1966-01",1.923077,
"USA","CPI","TOT","AGRWTH","M","1966-02",2.564103,
"USA","CPI","TOT","AGRWTH","M","1966-03",2.555911,
"USA","CPI","TOT","AGRWTH","M","1966-04",2.866242,
"USA","CPI","TOT","AGRWTH","M","1966-05",2.866242,
"USA","CPI","TOT","AGRWTH","M","1966-06",2.531646,
"USA","CPI","TOT","AGRWTH","M","1966-07",2.848101,
"USA","CPI","TOT","AGRWTH","M","1966-08",3.481013,
"USA","CPI","TOT","AGRWTH","M","1966-09",3.481013,
"USA","CPI","TOT","AGRWTH","M","1966-10",3.785489,
"USA","CPI","TOT","AGRWTH","M","1966-11",3.785489,
"USA","CPI","TOT","AGRWTH","M","1966-12",3.45912,
"USA","CPI","TOT","AGRWTH","M","1967-01",3.45912,
"USA","CPI","TOT","AGRWTH","M","1967-02",2.8125,
"USA","CPI","TOT","AGRWTH","M","1967-03",2.803738,
"USA","CPI","TOT","AGRWTH","M","1967-04",2.47678,
"USA","CPI","TOT","AGRWTH","M","1967-05",2.786378,
"USA","CPI","TOT","AGRWTH","M","1967-06",2.777778,
"USA","CPI","TOT","AGRWTH","M","1967-07",2.769231,
"USA","CPI","TOT","AGRWTH","M","1967-08",2.446483,
"USA","CPI","TOT","AGRWTH","M","1967-09",2.752294,
"USA","CPI","TOT","AGRWTH","M","1967-10",2.431611,
"USA","CPI","TOT","AGRWTH","M","1967-11",2.735562,
"USA","CPI","TOT","AGRWTH","M","1967-12",3.039514,
"USA","CPI","TOT","AGRWTH","M","1968-01",3.647416,
"USA","CPI","TOT","AGRWTH","M","1968-02",3.951368,
"USA","CPI","TOT","AGRWTH","M","1968-03",3.939394,
"USA","CPI","TOT","AGRWTH","M","1968-04",3.927492,
"USA","CPI","TOT","AGRWTH","M","1968-05",3.915663,
"USA","CPI","TOT","AGRWTH","M","1968-06",4.204204,
"USA","CPI","TOT","AGRWTH","M","1968-07",4.491018,
"USA","CPI","TOT","AGRWTH","M","1968-08",4.477612,
"USA","CPI","TOT","AGRWTH","M","1968-09",4.464286,
"USA","CPI","TOT","AGRWTH","M","1968-10",4.747775,
"USA","CPI","TOT","AGRWTH","M","1968-11",4.733728,
"USA","CPI","TOT","AGRWTH","M","1968-12",4.719764,
"USA","CPI","TOT","AGRWTH","M","1969-01",4.398827,
"USA","CPI","TOT","AGRWTH","M","1969-02",4.678362,
"USA","CPI","TOT","AGRWTH","M","1969-03",5.247813,
"USA","CPI","TOT","AGRWTH","M","1969-04",5.523256,
"USA","CPI","TOT","AGRWTH","M","1969-05",5.507246,
"USA","CPI","TOT","AGRWTH","M","1969-06",5.475504,
"USA","CPI","TOT","AGRWTH","M","1969-07",5.444126,
"USA","CPI","TOT","AGRWTH","M","1969-08",5.714286,
"USA","CPI","TOT","AGRWTH","M","1969-09",5.698006,
"USA","CPI","TOT","AGRWTH","M","1969-10",5.665722,
"USA","CPI","TOT","AGRWTH","M","1969-11",5.932203,
"USA","CPI","TOT","AGRWTH","M","1969-12",6.197183,
"USA","CPI","TOT","AGRWTH","M","1970-01",6.179775,
"USA","CPI","TOT","AGRWTH","M","1970-02",6.145251,
"USA","CPI","TOT","AGRWTH","M","1970-03",5.817174,
"USA","CPI","TOT","AGRWTH","M","1970-04",6.060606,
"USA","CPI","TOT","AGRWTH","M","1970-05",6.043956,
"USA","CPI","TOT","AGRWTH","M","1970-06",6.010929,
"USA","CPI","TOT","AGRWTH","M","1970-07",5.978261,
"USA","CPI","TOT","AGRWTH","M","1970-08",5.405406,
"USA","CPI","TOT","AGRWTH","M","1970-09",5.660378,
"USA","CPI","TOT","AGRWTH","M","1970-10",5.630027,
"USA","CPI","TOT","AGRWTH","M","1970-11",5.6,
"USA","CPI","TOT","AGRWTH","M","1970-12",5.570292,
"USA","CPI","TOT","AGRWTH","M","1971-01",5.291005,
"USA","CPI","TOT","AGRWTH","M","1971-02",5,
"USA","CPI","TOT","AGRWTH","M","1971-03",4.712042,
"USA","CPI","TOT","AGRWTH","M","1971-04",4.155844,
"USA","CPI","TOT","AGRWTH","M","1971-05",4.404145,
"USA","CPI","TOT","AGRWTH","M","1971-06",4.639175,
"USA","CPI","TOT","AGRWTH","M","1971-07",4.358974,
"USA","CPI","TOT","AGRWTH","M","1971-08",4.615385,
"USA","CPI","TOT","AGRWTH","M","1971-09",4.081633,
"USA","CPI","TOT","AGRWTH","M","1971-10",3.807106,
"USA","CPI","TOT","AGRWTH","M","1971-11",3.282828,
"USA","CPI","TOT","AGRWTH","M","1971-12",3.266332,
"USA","CPI","TOT","AGRWTH","M","1972-01",3.266332,
"USA","CPI","TOT","AGRWTH","M","1972-02",3.508772,
"USA","CPI","TOT","AGRWTH","M","1972-03",3.5,
"USA","CPI","TOT","AGRWTH","M","1972-04",3.491272,
"USA","CPI","TOT","AGRWTH","M","1972-05",3.225806,
"USA","CPI","TOT","AGRWTH","M","1972-06",2.70936,
"USA","CPI","TOT","AGRWTH","M","1972-07",2.948403,
"USA","CPI","TOT","AGRWTH","M","1972-08",2.941176,
"USA","CPI","TOT","AGRWTH","M","1972-09",3.186275,
"USA","CPI","TOT","AGRWTH","M","1972-10",3.422983,
"USA","CPI","TOT","AGRWTH","M","1972-11",3.667482,
"USA","CPI","TOT","AGRWTH","M","1972-12",3.406326,
"USA","CPI","TOT","AGRWTH","M","1973-01",3.649635,
"USA","CPI","TOT","AGRWTH","M","1973-02",3.874092,
"USA","CPI","TOT","AGRWTH","M","1973-03",4.589372,
"USA","CPI","TOT","AGRWTH","M","1973-04",5.060241,
"USA","CPI","TOT","AGRWTH","M","1973-05",5.528846,
"USA","CPI","TOT","AGRWTH","M","1973-06",5.995204,
"USA","CPI","TOT","AGRWTH","M","1973-07",5.727923,
"USA","CPI","TOT","AGRWTH","M","1973-08",7.380952,
"USA","CPI","TOT","AGRWTH","M","1973-09",7.36342,
"USA","CPI","TOT","AGRWTH","M","1973-10",7.801418,
"USA","CPI","TOT","AGRWTH","M","1973-11",8.254717,
"USA","CPI","TOT","AGRWTH","M","1973-12",8.705882,
"USA","CPI","TOT","AGRWTH","M","1974-01",9.389671,
"USA","CPI","TOT","AGRWTH","M","1974-02",10.02331,
"USA","CPI","TOT","AGRWTH","M","1974-03",10.39261,
"USA","CPI","TOT","AGRWTH","M","1974-04",10.09174,
"USA","CPI","TOT","AGRWTH","M","1974-05",10.70615,
"USA","CPI","TOT","AGRWTH","M","1974-06",10.85973,
"USA","CPI","TOT","AGRWTH","M","1974-07",11.51241,
"USA","CPI","TOT","AGRWTH","M","1974-08",10.86475,
"USA","CPI","TOT","AGRWTH","M","1974-09",11.9469,
"USA","CPI","TOT","AGRWTH","M","1974-10",12.0614,
"USA","CPI","TOT","AGRWTH","M","1974-11",12.20044,
"USA","CPI","TOT","AGRWTH","M","1974-12",12.33766,
"USA","CPI","TOT","AGRWTH","M","1975-01",11.80258,
"USA","CPI","TOT","AGRWTH","M","1975-02",11.22881,
"USA","CPI","TOT","AGRWTH","M","1975-03",10.25105,
"USA","CPI","TOT","AGRWTH","M","1975-04",10.20833,
"USA","CPI","TOT","AGRWTH","M","1975-05",9.46502,
"USA","CPI","TOT","AGRWTH","M","1975-06",9.387755,
"USA","CPI","TOT","AGRWTH","M","1975-07",9.716599,
"USA","CPI","TOT","AGRWTH","M","1975-08",8.6,
"USA","CPI","TOT","AGRWTH","M","1975-09",7.905138,
"USA","CPI","TOT","AGRWTH","M","1975-10",7.436399,
"USA","CPI","TOT","AGRWTH","M","1975-11",7.378641,
"USA","CPI","TOT","AGRWTH","M","1975-12",6.936416,
"USA","CPI","TOT","AGRWTH","M","1976-01",6.71785,
"USA","CPI","TOT","AGRWTH","M","1976-02",6.285714,
"USA","CPI","TOT","AGRWTH","M","1976-03",6.072106,
"USA","CPI","TOT","AGRWTH","M","1976-04",6.04915,
"USA","CPI","TOT","AGRWTH","M","1976-05",6.203008,
"USA","CPI","TOT","AGRWTH","M","1976-06",5.970149,
"USA","CPI","TOT","AGRWTH","M","1976-07",5.350554,
"USA","CPI","TOT","AGRWTH","M","1976-08",5.709024,
"USA","CPI","TOT","AGRWTH","M","1976-09",5.494505,
"USA","CPI","TOT","AGRWTH","M","1976-10",5.464481,
"USA","CPI","TOT","AGRWTH","M","1976-11",4.882459,
"USA","CPI","TOT","AGRWTH","M","1976-12",4.864865,
"USA","CPI","TOT","AGRWTH","M","1977-01",5.215827,
"USA","CPI","TOT","AGRWTH","M","1977-02",5.913979,
"USA","CPI","TOT","AGRWTH","M","1977-03",6.440072,
"USA","CPI","TOT","AGRWTH","M","1977-04",6.951872,
"USA","CPI","TOT","AGRWTH","M","1977-05",6.725664,
"USA","CPI","TOT","AGRWTH","M","1977-06",6.866197,
"USA","CPI","TOT","AGRWTH","M","1977-07",6.830122,
"USA","CPI","TOT","AGRWTH","M","1977-08",6.620209,
"USA","CPI","TOT","AGRWTH","M","1977-09",6.597222,
"USA","CPI","TOT","AGRWTH","M","1977-10",6.390328,
"USA","CPI","TOT","AGRWTH","M","1977-11",6.724138,
"USA","CPI","TOT","AGRWTH","M","1977-12",6.701031,
"USA","CPI","TOT","AGRWTH","M","1978-01",6.837607,
"USA","CPI","TOT","AGRWTH","M","1978-02",6.42978,
"USA","CPI","TOT","AGRWTH","M","1978-03",6.554622,
"USA","CPI","TOT","AGRWTH","M","1978-04",6.5,
"USA","CPI","TOT","AGRWTH","M","1978-05",6.965174,
"USA","CPI","TOT","AGRWTH","M","1978-06",7.413509,
"USA","CPI","TOT","AGRWTH","M","1978-07",7.704918,
"USA","CPI","TOT","AGRWTH","M","1978-08",7.843137,
"USA","CPI","TOT","AGRWTH","M","1978-09",8.306189,
"USA","CPI","TOT","AGRWTH","M","1978-10",8.928572,
"USA","CPI","TOT","AGRWTH","M","1978-11",8.885299,
"USA","CPI","TOT","AGRWTH","M","1978-12",9.017714,
"USA","CPI","TOT","AGRWTH","M","1979-01",9.28,
"USA","CPI","TOT","AGRWTH","M","1979-02",9.856915,
"USA","CPI","TOT","AGRWTH","M","1979-03",10.09464,
"USA","CPI","TOT","AGRWTH","M","1979-04",10.48513,
"USA","CPI","TOT","AGRWTH","M","1979-05",10.85271,
"USA","CPI","TOT","AGRWTH","M","1979-06",10.88957,
"USA","CPI","TOT","AGRWTH","M","1979-07",11.26332,
"USA","CPI","TOT","AGRWTH","M","1979-08",11.81818,
"USA","CPI","TOT","AGRWTH","M","1979-09",12.18045,
"USA","CPI","TOT","AGRWTH","M","1979-10",12.07154,
"USA","CPI","TOT","AGRWTH","M","1979-11",12.61128,
"USA","CPI","TOT","AGRWTH","M","1979-12",13.29394,
"USA","CPI","TOT","AGRWTH","M","1980-01",13.90922,
"USA","CPI","TOT","AGRWTH","M","1980-02",14.18234,
"USA","CPI","TOT","AGRWTH","M","1980-03",14.75645,
"USA","CPI","TOT","AGRWTH","M","1980-04",14.73088,
"USA","CPI","TOT","AGRWTH","M","1980-05",14.40559,
"USA","CPI","TOT","AGRWTH","M","1980-06",14.38451,
"USA","CPI","TOT","AGRWTH","M","1980-07",13.1327,
"USA","CPI","TOT","AGRWTH","M","1980-08",12.87263,
"USA","CPI","TOT","AGRWTH","M","1980-09",12.60054,
"USA","CPI","TOT","AGRWTH","M","1980-10",12.76596,
"USA","CPI","TOT","AGRWTH","M","1980-11",12.64822,
"USA","CPI","TOT","AGRWTH","M","1980-12",12.5163,
"USA","CPI","TOT","AGRWTH","M","1981-01",11.82519,
"USA","CPI","TOT","AGRWTH","M","1981-02",11.40684,
"USA","CPI","TOT","AGRWTH","M","1981-03",10.48689,
"USA","CPI","TOT","AGRWTH","M","1981-04",10,
"USA","CPI","TOT","AGRWTH","M","1981-05",9.779951,
"USA","CPI","TOT","AGRWTH","M","1981-06",9.5526,
"USA","CPI","TOT","AGRWTH","M","1981-07",10.76179,
"USA","CPI","TOT","AGRWTH","M","1981-08",10.80432,
"USA","CPI","TOT","AGRWTH","M","1981-09",10.95238,
"USA","CPI","TOT","AGRWTH","M","1981-10",10.14151,
"USA","CPI","TOT","AGRWTH","M","1981-11",9.590643,
"USA","CPI","TOT","AGRWTH","M","1981-12",8.922364,
"USA","CPI","TOT","AGRWTH","M","1982-01",8.390804,
"USA","CPI","TOT","AGRWTH","M","1982-02",7.622298,
"USA","CPI","TOT","AGRWTH","M","1982-03",6.779661,
"USA","CPI","TOT","AGRWTH","M","1982-04",6.50954,
"USA","CPI","TOT","AGRWTH","M","1982-05",6.681514,
"USA","CPI","TOT","AGRWTH","M","1982-06",7.064018,
"USA","CPI","TOT","AGRWTH","M","1982-07",6.441048,
"USA","CPI","TOT","AGRWTH","M","1982-08",5.850488,
"USA","CPI","TOT","AGRWTH","M","1982-09",5.042919,
"USA","CPI","TOT","AGRWTH","M","1982-10",5.139186,
"USA","CPI","TOT","AGRWTH","M","1982-11",4.589114,
"USA","CPI","TOT","AGRWTH","M","1982-12",3.829787,
"USA","CPI","TOT","AGRWTH","M","1983-01",3.711559,
"USA","CPI","TOT","AGRWTH","M","1983-02",3.488372,
"USA","CPI","TOT","AGRWTH","M","1983-03",3.597884,
"USA","CPI","TOT","AGRWTH","M","1983-04",3.898841,
"USA","CPI","TOT","AGRWTH","M","1983-05",3.549061,
"USA","CPI","TOT","AGRWTH","M","1983-06",2.57732,
"USA","CPI","TOT","AGRWTH","M","1983-07",2.461539,
"USA","CPI","TOT","AGRWTH","M","1983-08",2.558854,
"USA","CPI","TOT","AGRWTH","M","1983-09",2.860061,
"USA","CPI","TOT","AGRWTH","M","1983-10",2.851324,
"USA","CPI","TOT","AGRWTH","M","1983-11",3.265306,
"USA","CPI","TOT","AGRWTH","M","1983-12",3.790984,
"USA","CPI","TOT","AGRWTH","M","1984-01",4.192229,
"USA","CPI","TOT","AGRWTH","M","1984-02",4.596527,
"USA","CPI","TOT","AGRWTH","M","1984-03",4.800817,
"USA","CPI","TOT","AGRWTH","M","1984-04",4.563895,
"USA","CPI","TOT","AGRWTH","M","1984-05",4.233871,
"USA","CPI","TOT","AGRWTH","M","1984-06",4.221106,
"USA","CPI","TOT","AGRWTH","M","1984-07",4.204204,
"USA","CPI","TOT","AGRWTH","M","1984-08",4.291417,
"USA","CPI","TOT","AGRWTH","M","1984-09",4.270109,
"USA","CPI","TOT","AGRWTH","M","1984-10",4.257426,
"USA","CPI","TOT","AGRWTH","M","1984-11",4.051383,
"USA","CPI","TOT","AGRWTH","M","1984-12",3.948667,
"USA","CPI","TOT","AGRWTH","M","1985-01",3.532875,
"USA","CPI","TOT","AGRWTH","M","1985-02",3.515625,
"USA","CPI","TOT","AGRWTH","M","1985-03",3.703704,
"USA","CPI","TOT","AGRWTH","M","1985-04",3.685742,
"USA","CPI","TOT","AGRWTH","M","1985-05",3.77176,
"USA","CPI","TOT","AGRWTH","M","1985-06",3.760849,
"USA","CPI","TOT","AGRWTH","M","1985-07",3.554275,
"USA","CPI","TOT","AGRWTH","M","1985-08",3.349282,
"USA","CPI","TOT","AGRWTH","M","1985-09",3.142857,
"USA","CPI","TOT","AGRWTH","M","1985-10",3.22887,
"USA","CPI","TOT","AGRWTH","M","1985-11",3.51377,
"USA","CPI","TOT","AGRWTH","M","1985-12",3.798671,
"USA","CPI","TOT","AGRWTH","M","1986-01",3.886256,
"USA","CPI","TOT","AGRWTH","M","1986-02",3.113208,
"USA","CPI","TOT","AGRWTH","M","1986-03",2.255639,
"USA","CPI","TOT","AGRWTH","M","1986-04",1.590271,
"USA","CPI","TOT","AGRWTH","M","1986-05",1.491146,
"USA","CPI","TOT","AGRWTH","M","1986-06",1.765799,
"USA","CPI","TOT","AGRWTH","M","1986-07",1.576994,
"USA","CPI","TOT","AGRWTH","M","1986-08",1.574074,
"USA","CPI","TOT","AGRWTH","M","1986-09",1.754386,
"USA","CPI","TOT","AGRWTH","M","1986-10",1.471941,
"USA","CPI","TOT","AGRWTH","M","1986-11",1.284404,
"USA","CPI","TOT","AGRWTH","M","1986-12",1.097896,
"USA","CPI","TOT","AGRWTH","M","1987-01",1.459854,
"USA","CPI","TOT","AGRWTH","M","1987-02",2.1043,
"USA","CPI","TOT","AGRWTH","M","1987-03",3.033088,
"USA","CPI","TOT","AGRWTH","M","1987-04",3.775322,
"USA","CPI","TOT","AGRWTH","M","1987-05",3.856749,
"USA","CPI","TOT","AGRWTH","M","1987-06",3.652968,
"USA","CPI","TOT","AGRWTH","M","1987-07",3.926941,
"USA","CPI","TOT","AGRWTH","M","1987-08",4.284412,
"USA","CPI","TOT","AGRWTH","M","1987-09",4.355717,
"USA","CPI","TOT","AGRWTH","M","1987-10",4.533092,
"USA","CPI","TOT","AGRWTH","M","1987-11",4.528986,
"USA","CPI","TOT","AGRWTH","M","1987-12",4.434389,
"USA","CPI","TOT","AGRWTH","M","1988-01",4.046762,
"USA","CPI","TOT","AGRWTH","M","1988-02",3.942652,
"USA","CPI","TOT","AGRWTH","M","1988-03",3.925067,
"USA","CPI","TOT","AGRWTH","M","1988-04",3.90417,
"USA","CPI","TOT","AGRWTH","M","1988-05",3.890363,
"USA","CPI","TOT","AGRWTH","M","1988-06",3.964758,
"USA","CPI","TOT","AGRWTH","M","1988-07",4.130053,
"USA","CPI","TOT","AGRWTH","M","1988-08",4.020979,
"USA","CPI","TOT","AGRWTH","M","1988-09",4.173913,
"USA","CPI","TOT","AGRWTH","M","1988-10",4.249783,
"USA","CPI","TOT","AGRWTH","M","1988-11",4.2461,
"USA","CPI","TOT","AGRWTH","M","1988-12",4.419411,
"USA","CPI","TOT","AGRWTH","M","1989-01",4.667243,
"USA","CPI","TOT","AGRWTH","M","1989-02",4.827586,
